,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,DOLocationID,fare_amount,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng
3200,2022-01-03 11:02:45,2022-01-03 11:11:46,75,236,7.5,40.790650159764766,-73.94495666768462,40.78049147573493,-73.95697238530639
3201,2022-01-03 11:11:01,2022-01-03 11:15:29,181,181,5.0,40.67201914054624,-73.97904489684504,40.67201914054624,-73.97904489684504
3203,2022-01-03 11:10:50,2022-01-03 11:19:14,97,189,7.5,40.690615655694266,-73.975576580035,40.677182486623884,-73.96826963212501
3204,2022-01-03 11:10:17,2022-01-03 11:17:47,181,257,8.0,40.67201914054624,-73.97904489684504,40.65366449521204,-73.97723931118517
3206,2022-01-03 11:23:32,2022-01-03 11:33:51,65,49,8.0,40.69537260932962,-73.9855710635353,40.68851587525063,-73.96493373164775
3208,2022-01-03 11:21:09,2022-01-03 11:33:59,74,151,11.0,40.80556556547766,-73.9383104968462,40.7978662680042,-73.96780839097322
3209,2022-01-03 11:01:27,2022-01-03 11:25:00,41,164,23.0,40.80420482862898,-73.95206533089232,40.74880766681464,-73.9859288064872
3211,2022-01-03 11:52:57,2022-01-03 12:09:03,75,143,13.5,40.790650159764766,-73.94495666768462,40.775770209571455,-73.98797296641823
3212,2022-01-03 11:17:31,2022-01-03 11:23:39,260,226,6.0,40.74679779446937,-73.90371327894323,40.73527341028105,-73.92932128275633
3213,2022-01-03 11:14:09,2022-01-03 11:44:38,97,48,25.5,40.690615655694266,-73.975576580035,40.76223675561455,-73.98985665083148
3214,2022-01-03 11:12:09,2022-01-03 11:16:41,41,24,5.0,40.80420482862898,-73.95206533089232,40.80203277299444,-73.96556852909367
3215,2022-01-03 11:42:06,2022-01-03 12:06:46,75,75,20.0,40.790650159764766,-73.94495666768462,40.790650159764766,-73.94495666768462
3216,2022-01-03 11:02:27,2022-01-03 11:14:32,33,137,17.0,40.69623832706301,-73.99532879720404,40.74035923571167,-73.97711937073566
3217,2022-01-03 11:50:00,2022-01-03 12:06:54,33,114,13.5,40.69623832706301,-73.99532879720404,40.72861173159057,-73.99867794660477
3218,2022-01-03 11:33:26,2022-01-03 11:40:27,75,236,6.0,40.790650159764766,-73.94495666768462,40.78049147573493,-73.95697238530639
3219,2022-01-03 11:49:01,2022-01-03 11:55:03,74,41,6.0,40.80556556547766,-73.9383104968462,40.80420482862898,-73.95206533089232
3220,2022-01-03 11:19:02,2022-01-03 11:44:47,75,107,20.0,40.790650159764766,-73.94495666768462,40.737348376321,-73.98331035324628
3221,2022-01-03 11:49:46,2022-01-03 12:08:28,75,69,16.0,40.790650159764766,-73.94495666768462,40.830607677614125,-73.91536622023362
3222,2022-01-03 11:54:27,2022-01-03 12:03:57,74,24,9.0,40.80556556547766,-73.9383104968462,40.80203277299444,-73.96556852909367
3223,2022-01-03 11:09:11,2022-01-03 11:22:19,74,116,10.5,40.80556556547766,-73.9383104968462,40.827535259806176,-73.94736754322265
3224,2022-01-03 11:34:51,2022-01-03 11:51:09,41,250,20.0,40.80420482862898,-73.95206533089232,40.832490688629655,-73.84947867538979
3225,2022-01-03 11:22:16,2022-01-03 11:37:26,192,132,25.0,40.74441099850022,-73.81519253564926,40.642604521718,-73.77826365890199
3226,2022-01-03 11:56:35,2022-01-03 12:14:04,82,8,17.5,40.73846392036753,-73.87234400959339,40.77860696177062,-73.92320240928365
3227,2022-01-03 11:32:23,2022-01-03 11:39:49,74,166,6.5,40.80556556547766,-73.9383104968462,40.80957022827245,-73.96181526438258
3229,2022-01-03 11:03:53,2022-01-03 11:12:08,74,42,7.5,40.80556556547766,-73.9383104968462,40.82104621409778,-73.93951646931666
3230,2022-01-03 11:27:53,2022-01-03 11:45:02,116,43,16.0,40.827535259806176,-73.94736754322265,40.782459738636334,-73.96557217995945
3231,2022-01-03 11:52:44,2022-01-03 12:06:10,74,166,11.0,40.80556556547766,-73.9383104968462,40.80957022827245,-73.96181526438258
3232,2022-01-03 11:25:49,2022-01-03 11:37:44,75,74,9.5,40.790650159764766,-73.94495666768462,40.80556556547766,-73.9383104968462
3233,2022-01-03 11:09:56,2022-01-03 11:17:20,74,75,7.5,40.80556556547766,-73.9383104968462,40.790650159764766,-73.94495666768462
3234,2022-01-03 10:58:41,2022-01-03 11:02:41,41,41,5.0,40.80420482862898,-73.95206533089232,40.80420482862898,-73.95206533089232
3236,2022-01-03 11:23:06,2022-01-03 11:26:57,75,74,5.5,40.790650159764766,-73.94495666768462,40.80556556547766,-73.9383104968462
3237,2022-01-03 11:29:11,2022-01-03 11:47:12,74,236,12.5,40.80556556547766,-73.9383104968462,40.78049147573493,-73.95697238530639
3238,2022-01-03 11:24:06,2022-01-03 11:39:03,226,263,14.0,40.73527341028105,-73.92932128275633,40.77849586877702,-73.95120799165441
3239,2022-01-03 11:56:50,2022-01-03 12:01:18,75,74,6.0,40.790650159764766,-73.94495666768462,40.80556556547766,-73.9383104968462
3240,2022-01-03 11:34:14,2022-01-03 11:40:40,244,243,7.0,40.84121866986656,-73.94166681405747,40.85867028663149,-73.93282431823563
3241,2022-01-03 11:02:12,2022-01-03 11:06:40,166,152,5.0,40.80957022827245,-73.96181526438258,40.81757720019101,-73.95432487462715
3242,2022-01-03 11:46:58,2022-01-03 12:05:28,75,246,20.0,40.790650159764766,-73.94495666768462,40.7524372519649,-74.00451257207506
3243,2022-01-03 11:40:55,2022-01-03 11:45:25,74,74,5.0,40.80556556547766,-73.9383104968462,40.80556556547766,-73.9383104968462
3244,2022-01-03 11:41:59,2022-01-03 11:54:31,95,135,10.5,40.72346527235991,-73.84821993627048,40.72940996436194,-73.82398551387588
3245,2022-01-03 11:45:36,2022-01-03 12:00:40,74,169,16.0,40.80556556547766,-73.9383104968462,40.84911482191491,-73.90502146000487
3246,2022-01-03 11:57:44,2022-01-03 12:21:48,244,60,21.5,40.84121866986656,-73.94166681405747,40.831294118788485,-73.88978220265533
3247,2022-01-03 11:16:18,2022-01-03 11:27:04,95,196,9.0,40.72346527235991,-73.84821993627048,40.72364785898906,-73.86401021203442
3248,2022-01-03 11:17:16,2022-01-03 11:54:21,95,237,33.0,40.72346527235991,-73.84821993627048,40.76854188466485,-73.96569149194592
3249,2022-01-03 11:37:20,2022-01-03 12:04:50,95,170,30.0,40.72346527235991,-73.84821993627048,40.74765428110328,-73.97694199243557
3250,2022-01-03 11:20:31,2022-01-03 11:33:55,166,75,10.5,40.80957022827245,-73.96181526438258,40.790650159764766,-73.94495666768462
